Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
407.53,232.31,-3.45,121.34,482.38,7.4,30.09,133.17,16326.04
407.744,-4.44,-5.43,-162.77,-160.79,-39.95,6.41,119.36,16000.51
407.959,58.69,73.49,58.2,298.9,35.02,55.74,115.42,15402.71
408.173,-26.14,8.38,-46.36,58.2,-10.36,-15.29,72.01,15438.22
408.387,248.1,69.55,263.39,555.38,139.59,128.73,206.17,14848.31
408.601,98.15,122.82,249.58,148.96,-41.92,30.09,125.28,15000.23
408.815,-292.49,-119.86,-342.3,-622.46,-10.36,30.09,-16.77,14603.67
409.029,-20.22,-33.05,-97.66,133.17,-47.84,20.22,79.9,14033.49
409.243,141.56,57.71,26.63,269.31,19.24,99.14,148.96,13680.34
409.458,181.02,114.92,194.33,202.23,-8.38,-31.07,184.47,13352.83
409.672,-16.28,-78.42,-188.42,-352.17,-20.22,65.6,26.63,12814.22
409.886,9.37,75.46,40.45,212.09,-71.52,-36.99,133.17,12697.81
410.1,7.4,79.41,36.5,176.58,29.1,105.06,54.26,12094.09
410.314,234.29,89.28,245.63,251.55,7.4,-44.88,200.25,11746.86
410.528,190.88,24.17,-54.26,-105.55,-120.84,24.17,79.9,11448.94
410.742,40.94,-1.48,-68.07,-38.47,-8.38,-31.07,127.25,10754.47
410.956,336.88,47.84,176.58,369.93,-6.41,16.28,196.31,10399.34
411.17,119.86,-68.56,107.52,-34.53,23.18,12.33,208.14,10125.11
411.384,220.48,136.63,235.77,255.5,-26.14,79.41,198.28,10385.53
411.598,226.39,53.76,243.66,328.49,23.18,51.79,235.77,9472.06
411.812,29.1,8.38,8.88,164.74,13.32,-15.29,141.06,9219.53
412.026,-158.33,-76.45,-152.9,-348.22,-26.14,-35.02,105.55,8746.02
412.24,372.39,124.79,442.92,399.52,60.67,26.14,277.2,8367.22
412.454,-97.17,45.87,-4.93,-156.85,62.64,16.28,125.28,8450.08
412.667,252.04,47.84,354.14,486.33,36.99,49.82,216.04,7907.53
412.881,275.72,124.79,235.77,141.06,42.91,-15.29,208.14,7686.56
413.095,72.51,-72.51,12.82,152.9,42.91,73.49,186.44,7453.75
413.309,-14.3,-50.8,-68.07,-247.6,-47.84,8.38,125.28,6988.14
413.523,311.23,193.84,458.71,519.87,-37.98,95.19,271.28,6978.27
413.737,356.61,199.76,326.52,458.71,82.37,103.09,336.39,6567.9
413.95,123.8,-3.45,26.63,-68.07,-32.06,12.33,194.33,6232.5
414.164,206.66,110.98,320.6,387.68,42.91,47.84,348.22,6234.48
414.378,-18.25,43.9,-117.39,-22.69,52.78,55.74,212.09,6147.67
414.592,94.21,51.79,62.15,239.71,13.32,79.41,202.23,5808.32
414.806,167.21,156.36,225.9,421.22,82.37,146.49,395.57,5626.81
415.019,121.83,87.3,60.17,111.47,21.21,6.41,304.82,5380.2
415.233,1.48,22.2,123.31,196.31,-20.22,43.9,247.6,5249.98
415.447,157.34,91.25,129.23,46.36,-43.9,59.68,350.2,4985.61
415.66,-93.22,-54.75,-24.66,-223.93,-16.28,75.46,237.74,4954.04
415.874,206.66,79.41,143.04,415.3,3.45,49.82,393.6,4610.75
416.088,-39.95,30.09,-275.22,-214.06,-107.03,93.22,257.47,4539.72
416.301,25.15,-58.69,24.66,141.06,-0.49,105.06,281.14,4348.35
416.515,131.69,55.74,277.2,291.01,27.13,81.38,379.79,4306.92
416.729,167.21,89.28,109.5,198.28,48.83,73.49,425.17,4204.33
416.942,-65.6,-60.67,-75.96,52.28,19.24,47.84,421.22,4202.35
417.156,80.4,43.9,148.96,-131.2,-114.92,-25.15,375.84,4158.95
417.369,167.21,79.41,298.9,196.31,72.51,71.52,517.9,3888.66
417.583,559.82,223.43,579.06,543.54,-0.49,75.46,543.54,3730.82
417.796,-65.6,-5.43,-91.74,-221.96,29.1,20.22,354.14,3667.69
418.01,252.04,53.76,214.06,-10.85,-12.33,146.49,537.62,3890.63
418.223,-144.52,-38.97,-352.17,-397.55,-43.9,30.09,367.95,3265.21
418.437,56.72,-72.51,42.42,172.63,72.51,4.44,612.6,3679.52
418.65,-41.92,-29.1,-81.88,-91.74,25.15,65.6,527.76,3344.13
418.864,-225.41,-33.05,-306.79,-533.68,-51.79,124.79,464.63,3336.23
419.077,179.04,36.01,77.93,202.23,54.75,148.46,677.7,3336.23
419.291,342.8,144.52,411.36,667.84,-4.44,57.71,667.84,3316.5
419.504,135.64,51.79,83.85,251.55,1.48,81.38,557.35,3271.13
419.718,38.97,-56.72,-156.85,-50.31,-37.98,87.3,535.65,3221.8
419.931,86.32,71.52,-64.12,135.15,23.18,176.08,681.65,3146.83
420.144,433.55,87.3,373.87,861.19,9.37,148.46,725.05,2866.68
420.358,3.45,10.36,-64.12,127.25,74.48,75.46,711.24,3042.27
420.571,25.15,-42.91,-164.74,-166.71,-37.98,63.63,703.35,2821.3
420.784,143.53,24.17,180.52,115.42,-6.41,75.46,823.7,2754.22
420.998,72.51,-17.26,-154.88,101.61,-14.3,110.98,900.65,2740.41
421.211,226.39,176.08,202.23,330.47,40.94,164.25,831.59,2714.76
421.424,567.71,109,776.35,437.01,82.37,183.98,1064.4,2635.84
421.638,-81.38,-11.34,-87.8,-245.63,-18.25,170.17,847.38,2612.17
421.851,36.99,-1.48,-52.28,111.47,-6.41,144.52,1019.02,2598.36
422.064,182.99,55.74,107.52,294.95,-45.87,138.6,993.37,2537.2
